grade,topic,Code-1,Code-2,Describe
HS,HS.Human Sustainability,HS-ESS3-4,ESS3.C,Human Impacts on Earth Systems
HS,HS.Human Sustainability,HS-ESS3-6,ESS3.D,Global Climate Change
HS,HS.Human Sustainability,HS-ESS3-2,ETS1.B,Developing Possible Solutions
HS,HS.Engineering Design,HS-ETS1-1,,"Analyze a major global challenge to specify qualitative and quantitative criteria and constraints for solutions
that account for societal needs and wants."
HS,HS.Engineering Design,HS-ETS1-2,,"Design a solution to a complex real-world problem by breaking it down into smaller, more manageable
problems that can be solved through engineering."
HS,HS.Engineering Design,HS-ETS1-3,,"Evaluate a solution to a complex real-world problembased on prioritized criteria and trade-offs that account
for a range of constraints, including cost, safety, reliability, and aesthetics, as well as possible social, cultural,
and environmental impacts."
HS,HS.Engineering Design,HS-ETS1-4,,"Use a computer simulation to model the impact of proposed solutions to a complex real-world problem with
numerous criteria and constraints on interactions within and between systems relevant to the problem."
HS,HS.Engineering Design,HS-ETS1-1,ETS1.A,Defining and Delimiting Engineering Problems
HS,HS.Engineering Design,HS-ETS1-3,ETS1.B,Developing Possible Solutions
HS,HS.Engineering Design,HS-ETS1-4,ETS1.B,Developing Possible Solutions
HS,HS.Engineering Design,HS-ETS1-2,ETS1.C,Optimizing the Design Solution
